,BIDS Data,BIDS Validated
176,/sub-134425/anat/sub-134425_T1w.nii.gz,True
177,/sub-134627/anat/sub-134627_T1w.nii.gz,True
178,/sub-134728/anat/sub-134728_T1w.nii.gz,True
179,/sub-134829/anat/sub-134829_T1w.nii.gz,True
180,/sub-135124/anat/sub-135124_T1w.nii.gz,True
181,/sub-135225/anat/sub-135225_T1w.nii.gz,True
182,/sub-135528/anat/sub-135528_T1w.nii.gz,True
183,/sub-135629/anat/sub-135629_T1w.nii.gz,True
184,/sub-135730/anat/sub-135730_T1w.nii.gz,True
185,/sub-135932/anat/sub-135932_T1w.nii.gz,True
186,/sub-136126/anat/sub-136126_T1w.nii.gz,True
187,/sub-136227/anat/sub-136227_T1w.nii.gz,True
188,/sub-136631/anat/sub-136631_T1w.nii.gz,True
189,/sub-136732/anat/sub-136732_T1w.nii.gz,True
190,/sub-136833/anat/sub-136833_T1w.nii.gz,True
191,/sub-137027/anat/sub-137027_T1w.nii.gz,True
192,/sub-137128/anat/sub-137128_T1w.nii.gz,True
193,/sub-137229/anat/sub-137229_T1w.nii.gz,True
194,/sub-137431/anat/sub-137431_T1w.nii.gz,True
195,/sub-137532/anat/sub-137532_T1w.nii.gz,True
196,/sub-137633/anat/sub-137633_T1w.nii.gz,True
197,/sub-137936/anat/sub-137936_T1w.nii.gz,True
198,/sub-138130/anat/sub-138130_T1w.nii.gz,True
199,/sub-138231/anat/sub-138231_T1w.nii.gz,True
200,/sub-138332/anat/sub-138332_T1w.nii.gz,True
201,/sub-138534/anat/sub-138534_T1w.nii.gz,True
202,/sub-138837/anat/sub-138837_T1w.nii.gz,True
203,/sub-139233/anat/sub-139233_T1w.nii.gz,True
204,/sub-139435/anat/sub-139435_T1w.nii.gz,True
205,/sub-139637/anat/sub-139637_T1w.nii.gz,True
206,/sub-139839/anat/sub-139839_T1w.nii.gz,True
207,/sub-140117/anat/sub-140117_T1w.nii.gz,True
208,/sub-140319/anat/sub-140319_T1w.nii.gz,True
209,/sub-140420/anat/sub-140420_T1w.nii.gz,True
210,/sub-140824/anat/sub-140824_T1w.nii.gz,True
211,/sub-140925/anat/sub-140925_T1w.nii.gz,True
212,/sub-141119/anat/sub-141119_T1w.nii.gz,True
213,/sub-141422/anat/sub-141422_T1w.nii.gz,True
214,/sub-141826/anat/sub-141826_T1w.nii.gz,True
215,/sub-142424/anat/sub-142424_T1w.nii.gz,True
216,/sub-142828/anat/sub-142828_T1w.nii.gz,True
217,/sub-143224/anat/sub-143224_T1w.nii.gz,True
218,/sub-143325/anat/sub-143325_T1w.nii.gz,True
219,/sub-143426/anat/sub-143426_T1w.nii.gz,True
220,/sub-143527/anat/sub-143527_T1w.nii.gz,True
221,/sub-143830/anat/sub-143830_T1w.nii.gz,True
222,/sub-144125/anat/sub-144125_T1w.nii.gz,True
223,/sub-144226/anat/sub-144226_T1w.nii.gz,True
224,/sub-144428/anat/sub-144428_T1w.nii.gz,True
225,/sub-144731/anat/sub-144731_T1w.nii.gz,True
226,/sub-144832/anat/sub-144832_T1w.nii.gz,True
227,/sub-144933/anat/sub-144933_T1w.nii.gz,True
228,/sub-145127/anat/sub-145127_T1w.nii.gz,True
229,/sub-145531/anat/sub-145531_T1w.nii.gz,True
230,/sub-145632/anat/sub-145632_T1w.nii.gz,True
231,/sub-145834/anat/sub-145834_T1w.nii.gz,True
232,/sub-146129/anat/sub-146129_T1w.nii.gz,True
233,/sub-146331/anat/sub-146331_T1w.nii.gz,True
234,/sub-146432/anat/sub-146432_T1w.nii.gz,True
235,/sub-146533/anat/sub-146533_T1w.nii.gz,True
236,/sub-146634/anat/sub-146634_T1w.nii.gz,True
237,/sub-146735/anat/sub-146735_T1w.nii.gz,True
238,/sub-146836/anat/sub-146836_T1w.nii.gz,True
239,/sub-146937/anat/sub-146937_T1w.nii.gz,True
240,/sub-147030/anat/sub-147030_T1w.nii.gz,True
241,/sub-147636/anat/sub-147636_T1w.nii.gz,True
